"Autoridad Para el Manejo Sustentable de la Cuenca del Lago Atitlan y su Entorno (AMSCLAE)"
"Departamento de Investigacion y Calidad Ambiental (DICA)"
"Estacion Climatica de"
"Los Saminez"
2015
"  "
Mes,"Temp. Min. Abs. (°C)","Temp. Prom (°C)","Temp. Max Abs. (°C)","Hum. (%)","Precipitacion (mm)","Rad. Solar (W/m2)","Rad. Solar Max Abs.(W/m2)","Indice UV (Unidad)","Indice UV Max Abs. (Unidad)","Direccion Viento Max","Velocidad Viento Max. (km/h)"
2015-02-01,18.80,19.70,20.10,70.20,0.25,1.07,105.00,0.00,0.00,,0.00
2015-02-02,18.40,21.19,23.90,61.07,0.75,206.89,1158.00,1.84,9.10,,0.00
2015-02-03,12.40,17.19,19.60,66.11,0.00,528.74,1060.00,4.48,8.80,E,22.53
2015-02-04,10.50,15.12,21.50,70.96,0.00,229.08,925.00,1.54,7.60,SW,14.64
2015-02-05,10.30,14.42,19.70,74.38,0.00,185.00,1204.00,1.35,9.30,E,33.34
2015-02-06,11.70,13.97,17.70,74.54,0.00,231.42,944.00,1.65,8.20,E,45.45
2015-02-07,9.40,14.24,20.20,79.12,0.25,228.92,954.00,1.53,7.90,E,23.74
2015-02-08,9.60,14.09,19.50,86.17,2.02,212.67,1083.00,1.26,7.50,SSW,1.87
2015-02-09,10.60,14.58,19.10,86.38,1.52,233.08,951.00,1.47,7.30,ENE,6.61
2015-02-10,11.10,15.12,20.20,82.79,0.76,223.79,965.00,1.42,7.50,E,11.97
2015-02-11,10.10,13.89,17.40,90.88,0.00,126.83,1153.00,0.92,8.40,E,9.34
2015-02-12,11.90,14.41,19.60,86.04,0.00,191.12,1113.00,1.30,8.20,E,18.77
2015-02-13,10.10,12.88,17.60,75.71,0.25,230.58,942.00,1.61,8.30,E,32.99
2015-02-14,10.10,12.52,17.50,74.58,0.75,233.29,949.00,1.66,8.80,E,35.53
2015-02-15,9.40,13.43,20.70,73.96,0.00,237.71,953.00,1.78,8.80,E,25.64
2015-02-16,8.90,14.14,20.30,80.83,0.00,238.79,940.00,1.67,8.50,E,9.65
2015-02-17,10.30,15.65,20.80,79.17,0.00,229.71,926.00,1.59,7.80,E,14.26
2015-02-18,12.70,14.95,19.00,76.08,0.00,239.50,976.00,1.73,8.80,E,37.26
2015-02-19,12.00,14.88,18.50,74.04,0.00,250.42,1109.00,1.72,9.70,ENE,31.49
2015-02-20,9.70,14.61,20.30,80.21,0.00,239.88,1162.00,1.61,9.30,E,16.74
2015-02-21,10.30,15.26,19.70,81.25,0.00,248.62,991.00,1.72,8.70,SSW,4.81
2015-02-22,9.90,16.18,22.10,77.83,0.00,242.21,1028.00,1.68,8.40,E,17.21
2015-02-23,10.90,16.23,20.80,68.96,0.00,222.58,1216.00,1.59,10.00,ENE,22.34
2015-02-24,11.80,15.93,21.40,67.12,0.00,241.79,997.00,1.78,9.00,E,20.91
2015-02-25,9.10,14.78,19.70,80.54,0.00,229.50,1125.00,1.70,9.40,NE,5.14
2015-02-26,9.30,14.91,20.00,79.88,0.00,253.21,984.00,1.80,9.00,E,12.19
2015-02-27,12.30,15.99,21.10,79.29,0.00,150.71,1132.00,1.32,9.30,SW,7.77
2015-02-28,12.10,15.66,21.20,69.75,0.00,251.04,981.00,1.82,9.00,E,30.58
2015-03-01,11.60,14.77,18.60,69.88,0.00,122.96,1222.00,1.10,10.60,E,28.76
2015-03-02,11.20,15.19,20.00,75.79,0.00,249.46,1162.00,1.75,10.20,E,31.56
2015-03-03,11.60,16.40,21.60,70.32,0.00,357.54,974.00,2.90,9.10,ENE,19.31
2015-03-04,8.90,15.04,21.10,75.42,0.00,255.33,962.00,1.84,8.90,NE,7.80
2015-03-05,10.70,16.20,22.30,74.67,0.00,247.50,1083.00,1.76,9.10,NE,15.77
2015-03-06,12.30,14.53,19.70,86.79,3.80,132.67,793.00,0.76,5.20,,0.00
2015-03-07,9.30,13.72,22.20,74.92,84.56,152.88,751.00,0.96,4.80,E,37.01
2015-03-08,8.70,13.84,24.50,74.71,5.31,110.17,499.00,0.86,4.50,,0.00
2015-03-09,7.40,14.57,25.40,87.17,0.00,96.58,438.00,0.72,4.00,,0.00
2015-03-10,6.70,14.80,22.80,74.08,0.00,230.42,990.00,1.74,9.30,,0.00
2015-03-11,13.60,17.87,25.00,69.67,0.00,267.33,1078.00,1.91,9.90,SW,13.11
2015-03-12,14.20,17.59,23.80,74.50,0.00,255.88,1109.00,1.87,9.70,E,29.57
2015-03-13,13.60,16.70,21.70,76.62,0.00,203.75,1194.00,1.62,10.00,E,26.12
2015-03-14,13.30,16.37,21.20,67.83,0.00,240.96,1174.00,1.84,10.50,ENE,22.32
2015-03-15,11.30,15.45,20.20,72.46,0.00,183.96,1310.00,1.48,11.10,E,24.13
2015-03-16,12.20,15.20,23.00,76.58,3.03,39.21,547.00,0.54,4.60,,0.00
2015-03-17,11.50,15.59,21.90,72.72,1.27,206.34,1086.00,1.32,9.70,E,22.72
2015-03-18,10.00,15.08,20.30,81.46,2.78,252.12,1037.00,1.90,9.40,E,10.24
2015-03-19,11.80,14.66,19.50,90.96,0.25,206.33,1165.00,1.52,9.50,E,6.28
2015-03-20,9.90,14.64,19.40,86.50,0.00,225.08,1223.00,1.59,10.20,NNE,5.51
2015-03-21,12.10,14.93,19.20,88.04,0.00,183.79,1245.00,1.41,10.20,NNE,2.67
2015-03-22,10.80,14.77,19.40,89.71,0.00,189.00,1158.00,1.42,10.20,E,5.27
2015-03-23,11.40,15.51,20.20,83.25,0.00,215.79,1169.00,1.57,9.80,E,16.88
2015-03-24,10.40,15.80,20.90,74.38,0.00,224.83,1278.00,1.66,10.10,ENE,11.88
2015-03-25,11.50,15.70,20.40,82.75,0.00,245.79,1155.00,1.82,10.00,S,12.66
2015-03-26,12.30,16.02,20.80,87.33,0.00,202.50,1030.00,1.45,8.80,ENE,8.36
2015-03-27,12.70,16.97,21.60,82.25,0.00,241.58,1183.00,1.68,9.30,ENE,20.69
2015-03-28,13.60,16.91,21.40,73.79,0.00,241.96,1097.00,1.90,10.50,ENE,30.57
